,,,,,,,,
PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)",Year
Landry Shamet,PG,11.26,3.21,3.11,31,39.5,8,2018
Anfernee Simons,SG-PG,11.27,3.16,3.1,32,41.5,1,2018
Zhaire Smith,SF-SG,11.02,3.15,3.05,33,41.5,10,2018
Ray Spalding,PF,11.48,3.2,3.34,26,32,12,2018
Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8,2018
Khyri Thomas,SG,10.96,3.18,3.18,30,35,14,2018
Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12,2018
Allonzo Trier,SG,11.02,2.97,3.14,32,40,11,2018
Moritz Wagner,C-PF,11.48,3.07,3.18,27,34,8,2018
Lonnie Walker,SG,10.87,2.91,3.06,31.5,40,12,2018
PJ Washington,PF,11.39,3.43,3.2,27,34,3,2018
Austin Wiley,C,12.79,3.27,3.3,28,33.5,14,2018
Kris Wilkes,SF,11.29,3.16,3.24,28,35.5,1,2018
Kenrich Williams,SF,10.86,3.28,3.19,28,33,14,2018
Trae Young,PG,-,-,-,-,-,-,2018
Edrice Adebayo,PF-C,11.94,3.24,3.24,33.5,38.5,12,2017
Rawle Alkins,SG-SF,11.99,3.18,3.3,31.5,40.5,7,2017
Jarrett Allen,C,11.82,3,3.21,31.5,35.5,4,2017
Kadeem Allen,PG,11.24,2.98,3.15,33,35.5,7,2017
Ike Anigbogu,C,12.52,3.48,3.44,29.5,32.5,11,2017
OG Anunoby,SF,-,-,-,-,-,-,2017
Jamel Artis,SG-SF,11.62,3.08,3.44,23.5,31,5,2017
Dwayne Bacon,SG-SF,11.7,3.22,3.22,30,36.5,8,2017
V.J. Beachem,SG-SF,11.18,3.19,3.26,30,37,11,2017
Jordan Bell,PF,10.63,2.83,3.21,31.5,38,16,2017
Jaron Blossomgame,SF,11.47,3.35,3.17,31,35.5,16,2017
Chris Boucher,PF,-,-,-,-,-,-,2017
Tony Bradley,C,11.79,2.99,3.44,24.5,27.5,5,2017
Isaiah Briscoe,PG,10.95,2.85,3.38,28,33.5,11,2017
Dillon Brooks,SG-SF,11.14,3.24,3.21,31,37.5,16,2017
Thomas Bryant,PF-C,11.42,3.12,3.37,25.5,33,7,2017
Zach Collins,PF-C,-,-,-,-,-,-,2017
John Collins,PF,11.66,3.27,3.27,33,37.5,15,2017
Hamidou Diallo,SG-SF,10.88,2.79,3.11,34.5,44.5,-,2017
Tyler Dorsey,SG,10.55,2.98,3.16,30.5,36,8,2017
Damyean Dotson,SG-SF,11.18,3.03,3.13,31.5,38,13,2017
PJ Dozier,SG,10.84,2.98,3.15,34,39,9,2017
Jawun Evans,PG,11.34,3.26,3.21,27.5,33.5,1,2017
Terrance Ferguson,SG-SF,11.16,3.22,3.32,28.5,38,-,2017
De?Aaron Fox,PG,-,-,-,-,-,-,2017
Markelle Fultz,PG,-,-,-,-,-,-,2017
Harry Giles,PF,11.08,3,3.34,27,32.5,5,2017
Josh Hart,SG-SF,11.15,3.02,3.18,27.5,35.5,9,2017
Nigel Hayes,PF,11.81,2.94,3.27,29,33.5,16,2017
Isaiah Hicks,PF,12.31,3.31,3.36,31.5,37,11,2017
Wesley Iwundu,SG-SF,11.25,3.23,3.36,31.5,36,5,2017
Frank Jackson,PG,10.94,2.7,3.14,34.5,42,9,2017
Justin Jackson (UMD),SF,11.78,3.08,3.43,26.5,31.5,-,2017
Justin Jackson (UNC),SF,10.8,3.06,3.3,29.5,35.5,-,2017
Peter Jok,SG-SF,11.34,2.93,3.41,26.5,31,-,2017
Luke Kennard,SG-SF,-,-,-,-,-,-,2017
Kyle Kuzma,SF-SG,10.72,2.98,3.25,27,34,12,2017
TJ Leaf,PF,11.55,3.27,3.27,29,34.5,6,2017
Tyler Lydon,PF,11.68,2.81,3.46,29.5,33.5,1,2017
Frank Mason III,PG,11.41,3.09,3.18,34,41,15,2017
Kennedy Meeks,C,12.91,3.35,3.5,28,30.5,15,2017
Donovan Mitchell,SG,11.53,3.07,3.01,36.5,40.5,10,2017
Monte Morris,PG,11,3.2,3.19,28,33.5,8,2017
Johnathan Motley,PF,-,-,-,-,-,-,2017
Svi Mykhailiuk,SG-SF,12.4,3.25,3.53,27,33,8,2017
Semi Ojeleye,SF-SG,10.58,3.07,3.16,35,40.5,19,2017
Cameron Oliver,PF,12.17,3.31,3.16,28,39.5,5,2017
Justin Patton,C,11.8,3.31,3.46,26,30.5,-,2017
Alec Peters,PF,-,-,-,-,-,-,2017
Ivan Rabb,PF,12.68,3.23,3.35,28.5,32.5,3,2017
Davon Reed,SG-SF,11.37,3.21,3.34,28.5,36,12,2017
Devin Robinson,SF,12.85,3.61,3.23,35.5,41.5,10,2017
Kobi Simmons,PG,11.15,2.98,3.18,30.5,38.5,3,2017
Edmond Sumner,PG,-,-,-,-,-,-,2017
